myc_van_id,region_name,fo_name,team_name,turf_number
104038180,Region 07 - Iowa City,07C,07C,41
104038204,Region 05 - Waterloo,05B,05B,27
104038602,Region 06 - Cedar Rapids,06B,06B,34
104038694,Region 07 - Iowa City,07C,07C,41
104038741,Region 06 - Cedar Rapids,06B,06B,34
104038836,Region 07 - Iowa City,07C,07C,41
104038894,Region 05 - Waterloo,05B,05B,27
104039101,Region 07 - Iowa City,07A,07A,39
104039224,Region 04 - DSM,04F,04F,24
104039251,Region 03 - Ames,03A,03A,13
104039359,Region 06 - Cedar Rapids,06A,06A,33
104039447,Region 06 - Cedar Rapids,06E,06E,37
104039616,Region 07 - Iowa City,07B,07B,40
104039989,Region 07 - Iowa City,07A,07A,39
104040161,Region 03 - Ames,03A,03A,13
104040163,Region 04 - DSM,04F,04F,24
104040166,Region 04 - DSM,04B,04B,20
104040167,Region 03 - Ames,03A,03A,13
104040171,Region 04 - DSM,04C,04C,21
104040178,Region 04 - DSM,04C,04C,21
104040193,Region 04 - DSM,04C,04C,21
104040200,Region 04 - DSM,04B,04B,20
104040237,Region 01 - Council Bluffs,01A,01A,1
104040380,Region 04 - DSM,04A,04A,19
104040389,Region 08 - Davenport,08D,08D,49
104040404,Region 06 - Cedar Rapids,06E,06E,37
104040430,Region 06 - Cedar Rapids,06E,06E,37
104040433,Region 04 - DSM,04B,04B,20
104040438,Region 04 - DSM,04C,04C,21
104040458,Region 04 - DSM,04A,04A,19
104040734,Region 03 - Ames,03B,03B,14
104040833,Region 03 - Ames,03B,03B,14
104040846,Region 04 - DSM,04C,04C,21
104040856,Region 04 - DSM,04F,04F,24
104040869,Region 03 - Ames,03C,03C,15
104040880,Region 04 - DSM,04B,04B,20
104040882,Region 06 - Cedar Rapids,06E,06E,37
104040883,Region 08 - Davenport,08D,08D,49
104040886,Region 05 - Waterloo,05B,05B,27
104040894,Region 04 - DSM,04C,04C,21
104040907,Region 04 - DSM,04D,04D,22
104040911,Region 07 - Iowa City,07C,07C,41
104040916,Region 02 - Sioux City,02D,02D,10
104040917,Region 01 - Council Bluffs,01A,01A,1
104040925,Region 07 - Iowa City,07C,07C,41
104041086,Region 06 - Cedar Rapids,06B,06B,34
104041183,Region 08 - Davenport,08D,08D,49
104041482,Region 03 - Ames,03C,03C,15
104041542,Region 08 - Davenport,08D,08D,49
104041694,Region 07 - Iowa City,07B,07B,40
104041829,Region 04 - DSM,04B,04B,20
104041861,Region 06 - Cedar Rapids,06B,06B,34
104041911,Region 04 - DSM,04F,04F,24
104042112,Region 04 - DSM,04G,04G,25
104042127,Region 07 - Iowa City,07C,07C,41
104042221,Region 06 - Cedar Rapids,06F,06F,38
104042277,Region 03 - Ames,03C,03C,15
104042279,Region 04 - DSM,04A,04A,19
104042284,Region 04 - DSM,04A,04A,19
104042304,Region 04 - DSM,04A,04A,19
104042306,Region 04 - DSM,04A,04A,19
104042348,Region 04 - DSM,04E,04E,23
104042351,Region 04 - DSM,04B,04B,20
104042358,Region 02 - Sioux City,02A,02A,7
104042371,Region 02 - Sioux City,02A,02A,7
104042375,Region 02 - Sioux City,02A,02A,7
104042385,Region 02 - Sioux City,02A,02A,7
104042409,Region 02 - Sioux City,02A,02A,7
104042436,Region 03 - Ames,03B,03B,14
104042454,Region 07 - Iowa City,07C,07C,41
104042471,Region 05 - Waterloo,05A,05A,26
104042475,Region 04 - DSM,04F,04F,24
104042486,Region 04 - DSM,04E,04E,23
104042491,Region 07 - Iowa City,07G,07G,45
104042566,Region 04 - DSM,04D,04D,22
104042573,Region 04 - DSM,04D,04D,22
104042574,Region 04 - DSM,04B,04B,20
104042585,Region 04 - DSM,04D,04D,22
104042596,Region 04 - DSM,04D,04D,22
104042598,Region 04 - DSM,04F,04F,24
104042600,Region 04 - DSM,04D,04D,22
104042602,Region 04 - DSM,04F,04F,24
104042612,Region 04 - DSM,04D,04D,22
104042847,Region 03 - Ames,03B,03B,14
104042848,Region 03 - Ames,03A,03A,13
104042850,Region 04 - DSM,04C,04C,21
104042852,Region 07 - Iowa City,07B,07B,40
104042860,Region 04 - DSM,04A,04A,19
104042868,Region 04 - DSM,04B,04B,20
104042889,Region 02 - Sioux City,02A,02A,7
104042908,Region 02 - Sioux City,02A,02A,7
104042921,Region 02 - Sioux City,02A,02A,7
104042934,Region 02 - Sioux City,02A,02A,7
104042941,Region 02 - Sioux City,02A,02A,7
104042943,Region 02 - Sioux City,02A,02A,7
104042994,Region 04 - DSM,04C,04C,21
104042996,Region 08 - Davenport,08D,08D,49
104042999,Region 04 - DSM,04C,04C,21
104043018,Region 04 - DSM,04F,04F,24
104043020,Region 07 - Iowa City,07G,07G,45
104043023,Region 05 - Waterloo,05B,05B,27
104043210,Region 04 - DSM,04E,04E,23
104043211,Region 04 - DSM,04F,04F,24
